S,B,latency,memory,energy,is_validation
32,1,0.0010815765003826527,13799424,0.06750983699976132,False
32,2,0.000882192500284873,13869056,0.043476165183571544,False
32,4,0.001870702999895002,19095552,0.07890136839952902,False
32,8,0.0010265050004818477,16447488,0.032693683198527196,False
32,16,0.0021537319998969906,16742400,0.08498090928607598,False
32,32,0.0011717170000338228,18370560,0.038035859095566595,False
32,64,0.0014615744998991431,21626880,0.054165344501628174,False
32,111,0.0028810599997086683,26474496,0.11172774635942481,True
32,128,0.0017660349999459868,28139520,0.07873222395590347,False
32,133,0.001835028999721544,30193664,0.08297432060426946,True
32,139,0.0019664675005515164,29997056,0.07457700807887067,True
32,256,0.001763920000030339,41820160,0.06727382890258196,False
32,512,0.003960575999826688,68255744,0.28347965086098154,True
64,1,0.0006994455002313771,14008320,0.0518424003709515,False
64,2,0.0007277785002770543,14428160,0.03562903179356454,False
64,4,0.0006752120002602169,14919680,0.029400395678759194,False
64,8,0.0007325130004574021,20447232,0.03172125757482172,False
64,16,0.000739865500236192,21626880,0.032384564255207804,False
64,32,0.0008372105003218167,28139520,0.047290606100633334,False
64,64,0.001243588500074111,41820160,0.12788228376222832,False
64,111,0.002551535500515456,62554112,0.2240467765699873,True
64,128,0.0027435590000095544,68255744,0.21334052450288893,False
64,133,0.0028399244997672213,72105984,0.2526028787901441,True
64,139,0.00372581750025347,72990720,0.3202555516786765,True
64,256,0.005812898999465688,119316480,0.2549518491816002,False
64,512,0.012670189500113338,223518720,0.9887170495588938,True
80,1,0.0006707195002491062,14164992,0.02442450372199937,True
80,2,0.0006874619998598064,14705152,0.024694751039582116,True
80,4,0.0007345899998654204,15473152,0.03401510870961829,True
80,8,0.0007288415004040871,26302464,0.05160815126322268,True
80,16,0.0008264150001195958,28145664,0.05034061416810437,True
80,32,0.0012641045000236772,42074112,0.07058742472682206,True
80,64,0.00219912349984952,67239936,0.11987697953504084,True
80,111,0.004688185999839334,62372864,0.3479105014006598,True
80,128,0.004763237499446404,119627776,0.3251743686606733,True
80,133,0.005421317000127601,130356224,0.2902857188978349,True
80,139,0.006029434500305797,75561984,0.48862806295751593,True
80,256,0.009129554499850201,224755712,0.6974839339902827,True
80,512,0.017486368999925617,433692672,1.178572733553795,True
128,1,0.0006949049998183909,14924288,0.038222449787401275,False
128,2,0.0007111985000847199,15992832,0.03754515328833076,False
128,4,0.0008242809999501333,18186240,0.046119416960718806,False
128,8,0.001022520999867993,37322752,0.05702779472092515,False
128,16,0.001303735500187031,41820160,0.06453652679992591,False
128,32,0.0026860080001824826,68255744,0.19196081590950873,False
128,64,0.005822267999974429,119316480,0.48296541377074365,False
128,111,0.01002405950021057,197271552,0.7168219081098572,True
128,128,0.011496730499857222,223518720,0.7110184913545201,False
128,133,0.012263145500128303,243957760,0.7618420124113376,True
128,139,0.012598266499935562,247365632,0.8567916442097754,True
128,256,0.022194384000158607,431923200,1.4777248104605158,False
128,512,0.04421518900016963,848732160,2.942243167777705,True
208,1,0.0007618349995937024,18340352,0.0289837234314873,True
208,2,0.0007880809998823679,20590080,0.062004743202560345,True
208,4,0.0010521184999561228,25497600,0.08007503727887524,True
208,8,0.002030115000252408,37265408,0.09053493449394955,True
208,16,0.00388325599988093,77414400,0.30223592572985214,True
208,32,0.007352192500547972,140795904,0.511956549219769,True
208,64,0.014165591500386654,265650176,0.9488921493177449,True
208,111,0.028410271999746328,341044224,1.8942882152369525,True
208,128,0.027761732999806554,514170880,1.8849567305368153,True
208,133,0.028993588499815814,559153152,1.9421174237318186,True
208,139,0.03545362699969701,423535616,2.3842050197430247,True
208,256,0.054907272000036755,1013284864,3.704759368197722,True
208,512,0.11132946350016937,2010292224,7.4749588290334685,True
224,1,0.0007651360001545982,18699776,0.030804399386519438,False
224,2,0.0007822879997547716,21308928,0.032191569410744705,False
224,4,0.0010398725003142317,27377664,0.05758309990456974,False
224,8,0.0023418270002366626,41025536,0.24056376436338361,False
224,16,0.00474624499975107,95518720,0.3580328754669795,False
224,32,0.008959926999523304,174673920,0.611620731886288,False
